"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Support","Regular Army","Female",65.7,0.85,1.56
"Combat Service Support","Regular Army","Female",53.4,0.708,1.665
"Combat Service Support","Regular Army","Female",66.3,0.727,1.711
"Combat Service Support","Regular Army","Female",78.2,0.923,1.66
"Combat Arms","Regular Army","Female",88.6,1.163,1.572
"Combat Service Support","Regular Army","Female",83.7,0.968,1.707
"Combat Service Support","Regular Army","Female",73.2,0.964,1.644
"Combat Service Support","Regular Army","Female",76,0.914,1.671
"Combat Service Support","Regular Army","Female",54.5,0.755,1.521
"Combat Service Support","Regular Army","Female",68.4,0.944,1.59
"Combat Service Support","Regular Army","Female",99,0.935,1.707
"Combat Service Support","Regular Army","Female",74.2,0.942,1.668
"Combat Service Support","Regular Army","Female",78.1,0.995,1.654
"Combat Service Support","Regular Army","Female",71.8,0.848,1.666
"Combat Service Support","Regular Army","Female",70.9,0.929,1.599
"Combat Support","Regular Army","Female",67.2,0.835,1.673
"Combat Service Support","Regular Army","Female",62,0.772,1.647
"Combat Support","Regular Army","Female",59.5,0.805,1.678
"Combat Service Support","Regular Army","Female",74.1,0.868,1.679
"Combat Service Support","Regular Army","Female",60.5,0.792,1.615
"Combat Support","Regular Army","Female",80,1.137,1.517
"Combat Support","Regular Army","Female",74.7,0.881,1.674
"Combat Support","Regular Army","Female",49.1,0.702,1.623
"Combat Support","Regular Army","Female",70.3,0.954,1.668
"Combat Service Support","Regular Army","Female",71.5,0.796,1.644
"Combat Service Support","Regular Army","Female",70.8,1,1.579
"Combat Service Support","Regular Army","Female",48.8,0.742,1.446
"Combat Support","Regular Army","Female",69.1,0.912,1.62
"Combat Service Support","Regular Army","Female",73,0.913,1.684
"Combat Support","Regular Army","Female",61,0.821,1.619
"Combat Service Support","Regular Army","Female",65.8,0.93,1.592
"Combat Support","Regular Army","Female",70.9,0.901,1.655
"Combat Support","Regular Army","Female",72.8,0.935,1.723
"Combat Service Support","Regular Army","Female",84.6,1.077,1.677
"Combat Support","Regular Army","Female",94.5,1.112,1.654
"Combat Support","Regular Army","Female",62.7,0.812,1.634
"Combat Support","Regular Army","Female",57.8,0.869,1.683
"Combat Support","Regular Army","Female",52.4,0.712,1.552
"Combat Service Support","Regular Army","Female",73.2,1.057,1.617
"Combat Support","Regular Army","Female",79.1,0.964,1.588
"Combat Support","Regular Army","Female",89.4,1.134,1.641
"Combat Support","Regular Army","Female",68.9,0.869,1.685
"Combat Support","Regular Army","Female",75.8,0.942,1.656
"Combat Support","Regular Army","Female",73.1,1.019,1.603
"Combat Service Support","Regular Army","Female",74.8,0.865,1.608
"Combat Service Support","Regular Army","Female",80.6,0.975,1.664
"Combat Support","Regular Army","Female",71.4,0.814,1.619
"Combat Support","Regular Army","Female",71.2,0.947,1.62
"Combat Support","Regular Army","Female",65.7,0.794,1.72
"Combat Support","Regular Army","Female",47.7,0.679,1.582
"Combat Support","Regular Army","Female",69.6,0.89,1.72
"Combat Support","Regular Army","Female",119.6,1.334,1.72
"Combat Service Support","Regular Army","Female",88.7,1.076,1.701
"Combat Service Support","Regular Army","Female",75.4,1.007,1.627
"Combat Support","Regular Army","Female",67.8,0.897,1.536
"Combat Service Support","Regular Army","Female",60.7,0.832,1.546
"Combat Support","Regular Army","Female",57.2,0.766,1.654
"Combat Service Support","Regular Army","Female",68.9,0.878,1.605
"Combat Service Support","Regular Army","Female",71.2,0.943,1.63
"Combat Service Support","Regular Army","Female",60.4,0.825,1.612
"Combat Service Support","Regular Army","Female",69.7,0.812,1.757
"Combat Service Support","Regular Army","Female",85.4,1.062,1.67
"Combat Service Support","Regular Army","Female",61.7,0.914,1.632
"Combat Service Support","Regular Army","Female",79,0.987,1.635
"Combat Service Support","Regular Army","Female",67.2,0.868,1.682
"Combat Service Support","Regular Army","Female",69.5,0.839,1.661
"Combat Service Support","Regular Army","Female",66.9,0.814,1.596
"Combat Service Support","Regular Army","Female",57.4,0.804,1.596
"Combat Service Support","Regular Army","Female",81.5,0.925,1.665
"Combat Support","Regular Army","Female",61.8,0.805,1.617
"Combat Service Support","Regular Army","Female",64.5,0.811,1.555
"Combat Support","Regular Army","Female",55.7,0.757,1.578
"Combat Support","Regular Army","Female",61.4,0.839,1.581
"Combat Service Support","Regular Army","Female",66.8,0.821,1.698
"Combat Service Support","Regular Army","Female",73,1.001,1.554
"Combat Service Support","Regular Army","Female",73.7,0.86,1.756
"Combat Service Support","Regular Army","Female",69.3,0.922,1.566
"Combat Support","Regular Army","Female",75.7,1.012,1.651
"Combat Support","Regular Army","Female",74,0.981,1.585
"Combat Service Support","Regular Army","Female",68.2,0.87,1.657
"Combat Support","Regular Army","Female",86.7,0.931,1.719
"Combat Service Support","Regular Army","Female",88.2,0.895,1.822
"Combat Support","Regular Army","Female",78.6,0.925,1.649
"Combat Service Support","Regular Army","Female",62.2,0.751,1.687
"Combat Service Support","Regular Army","Female",78.2,1.019,1.698
"Combat Arms","Regular Army","Female",60.8,0.784,1.53
"Combat Support","Regular Army","Female",67.4,0.917,1.581
"Combat Support","Regular Army","Female",68.6,0.865,1.609
"Combat Service Support","Regular Army","Female",67,0.847,1.644
"Combat Service Support","Regular Army","Female",63.5,0.785,1.548
"Combat Support","Regular Army","Female",77.3,1.004,1.606
"Combat Support","Regular Army","Female",55.5,0.759,1.642
"Combat Support","Regular Army","Female",72.7,0.955,1.622
"Combat Service Support","Regular Army","Female",59.3,0.694,1.669
"Combat Support","Regular Army","Female",99.8,1.068,1.745
"Combat Support","Regular Army","Female",58.1,0.948,1.495
"Combat Support","Regular Army","Female",64.2,0.912,1.493
"Combat Support","Regular Army","Female",75.8,0.989,1.641
"Combat Support","Regular Army","Female",68.3,0.887,1.607
"Combat Service Support","Regular Army","Female",47.1,0.698,1.56
"Combat Arms","Regular Army","Female",66.5,0.822,1.625
"Combat Service Support","Regular Army","Female",68.5,0.885,1.67
"Combat Service Support","Regular Army","Female",57.9,0.764,1.616
"Combat Arms","Regular Army","Female",64.7,0.943,1.582
