"","id","date_opened","total","fund_A","fund_B","fund_C","acct_age"
"1","A880C79F",2003-10-19,169305,85018,75580,8707,20
"2","BE8222DF",2018-10-05,107460,64784,35194,7482,5
"3","19F9E113",2008-07-29,147088,64029,15300,67759,15
"4","A2FE52A3",2005-06-09,143243,63466,54053,25724,18
"5","F6DC2C08",2012-03-31,124568,21156,47935,55477,11
"6","D2E55799",2007-06-20,131113,79241,26800,25072,16
"7","53AE87EF",2017-12-01,147846,38450,29185,80211,5
"8","3E97F253",2019-06-03,139575,11045,65907,62623,4
"9","4AE79EA1",2011-05-07,224409,68394,80418,75597,12
"10","2322DFB4",2018-04-07,189524,66964,52238,70322,5
"11","645335B2",2018-11-16,154001,68691,56400,28910,4
"12","D5EB0F00",2001-04-16,130920,69487,48681,56408,22
"13","1EB593F7",2005-04-21,191989,75388,84199,32402,18
"14","DDBA03D9",2006-06-13,92473,32931,22162,37380,17
"15","40E4A2F4",2009-01-07,180547,82564,68210,29773,14
"16","39132EEA",2012-07-07,150115,26358,74286,49471,11
"17","387F8E4D",2011-01-03,90410,7520,67142,15748,12
"18","11C3C3C0",2017-12-24,180003,84295,31591,64117,4
"19","C2FC91E1",2004-05-21,105722,25398,24075,56249,19
"20","FB8F01C1",2001-09-06,217068,69738,86768,60562,22
"21","0128D2D0",2005-04-09,184421,82221,60149,42051,18
"22","BE6E4B3F",2009-10-20,150769,49607,55417,45745,14
"23","7C6E2ECC",2003-05-16,169814,82093,62756,24965,20
"24","02E63545",2015-10-25,125117,50287,23342,51488,8
"25","4399C98B",2001-05-19,130421,58177,43912,28332,22
"26","98F4CF0F",2014-05-27,143211,84645,7088,51478,9
"27","247222A6",2015-05-26,150372,69104,63369,17899,8
"28","420985EE",2008-12-27,123125,59390,27890,35845,14
"29","0E3903BA",2015-11-11,182668,47236,87437,47995,7
"30","64EF994F",2009-02-26,161141,89269,25939,45933,14
"31","CCF84EDB",2008-12-26,136128,33405,89016,13707,14
"32","51C21705",2016-04-22,155684,53542,38234,63908,7
"33","C868C6AD",2000-01-31,112818,17876,15057,79885,23
"34","92C237C6",2005-12-13,85362,72556,21739,19537,17
"35","9ECEADB2",2018-05-17,146153,40675,46482,58996,5
"36","DF0AFE50",2004-12-03,146635,67373,63443,15819,18
"37","5CD605B3",2016-10-19,87921,8474,50284,29163,7
"38","402839E2",2019-09-14,163416,59213,23460,80743,4
"39","78286CE7",2009-10-05,144704,72495,38450,33759,14
"40","168E071B",2013-07-11,87826,21642,42937,23247,10
"41","466CCDAA",2002-03-24,144051,19756,80182,44113,21
"42","8DE1ECB9",2015-10-17,217975,67105,72907,77963,8
"43","E19FE6B5",2009-06-06,101936,39942,38580,23414,14
"44","1240D39C",2011-09-07,151556,18835,46135,86586,12
"45","A7BFAA72",2019-11-12,133790,56001,54885,22904,3
"46","C3D24436",2002-05-24,101584,58434,21069,22081,21
"47","FAD92F0F",2007-09-13,164241,70211,73984,20046,16
"48","236A1D51",2019-10-01,177759,20886,80883,75990,4
"49","A6DDDC4C",2000-08-17,67962,5970,20088,41904,23
"50","DDFD0B3D",2001-04-11,151696,30596,84390,36710,22
"51","D13375E9",2005-11-01,134083,28545,37537,68001,18
"52","AC50B796",2016-06-30,154916,54451,35906,64559,7
"53","290319FD",2005-05-27,170178,54341,32764,83073,18
"54","FC71925A",2006-11-02,186281,89127,43356,53798,17
"55","7B0F3685",2013-05-23,179102,81321,18106,79675,10
"56","BE411172",2017-02-24,170096,86735,56580,26781,6
"57","58066E39",2015-09-16,163708,59004,16987,87717,8
"58","EA7FF83A",2004-11-02,111526,86856,19406,5264,18
"59","14A2DDB7",2019-03-06,123163,49666,25407,48090,4
"60","305EEAA8",2018-09-01,138632,20307,35028,83297,5
"61","8F25E54C",2008-11-24,189126,72037,62513,54576,14
"62","19DD73C6",2002-12-31,141275,72872,51219,17184,20
"63","ACB8E6AF",2013-07-27,71359,10203,51163,9993,10
"64","91BFCC40",2014-01-10,132859,67405,7399,58055,9
"65","86ACAF81",2011-12-14,235901,79599,79291,77011,11
"66","77E85C14",2009-11-20,133348,20954,33018,79376,13
"67","C5C6B79D",2008-03-01,188424,61972,69266,57186,15
"68","0E5B69F5",2018-05-07,134488,88475,44383,46475,5
"69","5275B518",2017-11-23,71665,16114,35691,19860,5
"70","17217048",2001-05-25,193377,45365,58558,89454,22
"71","E7496A7F",2008-09-27,142669,8615,72841,61213,15
"72","41BBB7B4",2005-02-22,144229,26449,83938,33842,18
"73","F6C7ABA1",2008-01-07,183440,82468,73281,27691,15
"74","E699DF01",2008-02-17,199603,84788,47808,67007,15
"75","BACA7378",2005-05-11,204271,87254,57043,59974,18
"76","84A4302F",2003-08-12,186737,86632,33506,66599,20
"77","F8A78C27",2006-04-05,41164,7560,21040,12564,17
"78","8BADDF6A",2010-12-31,158203,25477,43902,88824,12
"79","9FB57E68",2017-09-01,216352,86665,77117,52570,6
"80","5C98E8F5",2014-11-25,103200,28990,24986,49224,8
"81","6BB53C2A",2016-12-03,146394,29561,29023,87810,6
"82","E23F2505",2017-10-15,121614,59013,39086,23515,6
"83","0C121914",2017-06-21,227729,86625,79950,61154,6
"84","3627E08A",2008-04-01,238104,60475,89011,88618,14
"85","A94493B3",2009-08-01,85975,48482,7054,30439,14
