"","points_5","points_4","points_3","points_2","points_1"
"1","Yellow-eyed penguin","Kea","Tūī","Southern Royal Albatross","Southern Brown Kiwi"
"2","Yellow-eyed penguin","Kererū","Tūī","Saddleback","Rockhopper Penguin"
"3","Fiordland Crested Penguin","Bar-tailed Godwit","Banded Dotterel","Black Robin","Blue Duck"
"4","Fantail","Kea","Tūī","Kākā","Kākāpō"
"5","Kākāpō","Little Spotted Kiwi","Rockhopper Penguin","Kōkako","Shore Plover"
"6","Yellow-eyed penguin",NA,NA,NA,NA
"7","Kākāpō","Black Robin","Orange-fronted Parakeet","Little Spotted Kiwi","Kākā"
"8","Australasian Crested Grebe","Blue Duck","New Zealand Falcon","Tomtit","Kea"
"9","Antipodean Albatross","Southern Brown Kiwi","Southern Royal Albatross","Great Spotted Kiwi","Barn Owl"
"10","Kererū","Rockhopper Penguin","Royal Spoonbill","Little Spotted Kiwi","Yellow-eyed penguin"
"11","Little Penguin","Silvereye","New Zealand Robin","Fantail","Kākā"
"12","Yellow-eyed penguin",NA,NA,NA,NA
"13","Kākāpō","Variable Oystercatcher","Little Penguin","Blue Duck","Kererū"
"14","Yellow-eyed penguin","South Island Kōkako","Fairy Tern","Chatham Island Oystercatcher","Blue Duck"
"15","Kākā","Fantail","Little Spotted Kiwi","Kingfisher","Mōhua"
"16","Yellow-eyed penguin","Black Robin",NA,NA,NA
"17","Kākāpō","Black Robin","Yellow-eyed penguin","Royal Spoonbill","Shining Cuckoo"
"18","Yellow-eyed penguin","Mōhua","Stitchbird","South Island Kōkako","Rockhopper Penguin"
"19","Black Robin","Black Stilt","Blue Duck","Shore Plover","Yellow-eyed penguin"
"20","Yellow-eyed penguin","Orange-fronted Parakeet","Morepork","Kererū","Kākāpō"
"21","Yellow-eyed penguin",NA,NA,NA,NA
"22","Royal Spoonbill","Chatham Island Mollymawk","Silvereye","Fairy Tern","South Island Kōkako"
"23","Kererū","Kākāpō","Little Spotted Kiwi",NA,NA
"24","Southern Brown Kiwi","Blue Duck","Black Robin","Yellow-eyed penguin","Whenua Hou Diving Petrel"
"25","New Zealand Falcon","Black Robin","Chatham Island Mollymawk","South Island Kōkako","Shore Plover"
"26","Rock Wren","Rockhopper Penguin","Fairy Tern","Tomtit","Takahē"
"27","Bellbird","Banded Dotterel","Bittern","Hutton's Shearwater","Kōkako"
"28","Yellow-eyed penguin","Blue Duck","Black Stilt","Black-billed Gull","Banded Dotterel"
"29","Yellow-eyed penguin",NA,NA,NA,NA
"30","Kea","Kākāpō","Orange-fronted Parakeet","Kākā","Black Stilt"
"31","Yellow-eyed penguin","Orange-fronted Parakeet","Mōhua","Kākā","Black Robin"
"32","Yellow-eyed penguin","Tūī","New Zealand Dotterel","Morepork","Kākā"
"33","Little Penguin","Morepork","New Zealand King Shag","Rockhopper Penguin","Southern Brown Kiwi"
"34","Yellow-eyed penguin","Blue Duck","Fairy Tern","Kākāpō","Takahē"
"35","Kākā","South Island Kōkako","Antipodean Albatross","Kākāpō","Orange-fronted Parakeet"
"36","Blue Duck","Rock Wren","Kākā","Morepork","Mōhua"
"37","Yellow-eyed penguin",NA,NA,NA,NA
"38","Yellow-eyed penguin",NA,NA,NA,NA
"39","Barn Owl","Antipodean Albatross","Australasian Crested Grebe","Bellbird","Yellow-eyed penguin"
"40","Banded Dotterel","Kōkako","South Island Kōkako","Shining Cuckoo","Barn Owl"
"41","Fantail","Pūkeko","Silvereye","Little Spotted Kiwi","Black Robin"
"42","Kererū","Barn Owl","Little Penguin","New Zealand Falcon","Morepork"
