"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","Group"
11976148,13968311,8000,8000,8000,"36 months",9.67,256.9,"B","B1","Escalation Manager","9 years","MORTGAGE",74000,"Verified","Feb-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=11976148",NA,"major_purchase","Major purchase","492xx","MI",7.49,0,"Aug-2001",0,24,NA,6,0,3750,61.5,18,"w",3388.25,3388.25,5651.8,5651.8,4611.75,1040.05,0,0,0,"Dec-2015",256.9,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,313,291589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6100,NA,NA,NA,"A"
1203719,1444848,1200,1200,1200,"36 months",12.12,39.93,"B","B3","new vanderbilt rehab care center","4 years","RENT",58000,"Not Verified","Apr-2012","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1203719",NA,"credit_card","Credit Card Loan","103xx","NY",13.5,0,"Jul-2003",0,NA,NA,22,0,21826,66.9,35,"f",0,0,1436.91165291,1436.91,1200,236.91,0,0,0,"Apr-2015",41.12,NA,"Apr-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A"
54998739,58569477,15000,15000,15000,"36 months",12.69,503.18,"C","C2","Director Accounting and Materials Manage","10+ years","MORTGAGE",109400,"Not Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=54998739",NA,"debt_consolidation","Debt consolidation","935xx","CA",26.18,0,"May-1996",2,NA,117,16,1,15250,71,24,"w",12877.24,12877.24,3008.5,3008.5,2122.76,885.74,0,0,0,"Jan-2016",503.18,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,367506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21400,NA,NA,NA,"A"
5801830,7233534,9000,9000,9000,"60 months",12.12,200.75,"B","B3","USDC DISTRICT OF NV","10+ years","RENT",85000,"Verified","Jul-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5801830",NA,"debt_consolidation","Debt consolidation","891xx","NV",7.02,1,"Mar-1991",0,10,NA,15,0,28024,19.6,38,"f",0,0,10637.5015151,10637.5,9000,1637.5,0,0,0,"Mar-2015",6829.83,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,28024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143100,NA,NA,NA,"A"
31587242,34180414,16000,16000,16000,"36 months",11.67,528.92,"B","B4","Director of Business Development","5 years","MORTGAGE",250000,"Source Verified","Oct-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=31587242",NA,"debt_consolidation","Debt consolidation","300xx","GA",19.65,0,"Jul-1982",0,NA,NA,18,0,46894,68.9,21,"f",10002.45,10002.45,7913.05,7913.05,5997.55,1915.5,0,0,0,"Jan-2016",528.92,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,134267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68100,NA,NA,NA,"A"
7711391,9412792,15600,15600,15600,"60 months",15.1,371.95,"C","C2","Supervisor","10+ years","RENT",43000,"Source Verified","Oct-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=7711391",NA,"debt_consolidation","Consolidation","088xx","NJ",13.71,0,"Apr-1995",1,NA,NA,8,0,10292,63.9,20,"f",0,0,15990.32,15990.32,15600,390.32,0,0,0,"Dec-2013",15618.62,NA,"Mar-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,17546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16100,NA,NA,NA,"A"
54494666,58085421,2400,2400,2400,"36 months",15.61,83.92,"D","D1","Assistant Manager","< 1 year","RENT",28000,"Not Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=54494666",NA,"debt_consolidation","Debt consolidation","465xx","IN",22.33,0,"Feb-2007",1,NA,NA,18,0,8768,63.1,32,"f",2073.34,2073.34,511.38,511.38,326.66,184.72,0,0,0,"Jan-2016",83.92,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,60742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13900,NA,NA,NA,"A"
57663583,61416333,23600,23600,23225,"60 months",13.99,549.01,"C","C4","Systems Administrator II","< 1 year","MORTGAGE",82000,"Verified","Aug-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57663583",NA,"credit_card","Credit card refinancing","296xx","SC",32.94,2,"Jan-2002",1,13,NA,33,0,15386,39,52,"f",22198.33,21845.6,2726.71,2683.38,1401.67,1325.04,0,0,0,"Jan-2016",549.01,"Feb-2016","Jan-2016",1,13,1,"INDIVIDUAL",NA,NA,NA,0,0,277909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,NA,NA,NA,"A"
8967787,10759760,3600,3600,3600,"36 months",15.1,124.98,"C","C2","Sales Consultant","< 1 year","RENT",65000,"Not Verified","Nov-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=8967787",NA,"major_purchase","Major purchase","029xx","RI",15.05,0,"Mar-2004",1,57,NA,16,0,7785,81.1,32,"f",0,0,4170.14747177,4170.15,3600,570.15,0,0,0,"Feb-2015",2420.55,NA,"Jan-2016",0,57,1,"INDIVIDUAL",NA,NA,NA,0,0,98860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9600,NA,NA,NA,"A"
21760921,24083874,20750,20750,20750,"36 months",20.2,773.27,"E","E3","Mechanic","10+ years","MORTGAGE",65000,"Source Verified","Jul-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=21760921",NA,"debt_consolidation","Debt consolidation","300xx","GA",26.31,1,"Nov-2000",3,17,NA,10,0,12494,88,22,"f",12485.01,12485.01,13145.59,13145.59,8264.99,4880.6,0,0,0,"Dec-2015",773.27,"Feb-2016","Jan-2016",0,35,1,"INDIVIDUAL",NA,NA,NA,0,0,126013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14200,NA,NA,NA,"A"
