"School_ID","School_Name","Borough","Building_Code","Street_Address","City","State","Zip_Code","Latitude","Longitude","Phone_Number","Start_Time","End_Time","Student_Enrollment","Percent_White","Percent_Black","Percent_Hispanic","Percent_Asian","Average_Score_SAT_Math","Average_Score_SAT_Reading","Average_Score_SAT_Writing","Percent_Tested","Teacher_Education_Level","Tutoring_Program","Homework_Type"
"11X290","Bronx Academy of Health Careers","Bronx","X425","800 East Gun Hill Road","Bronx","NY",10467,40.87575,-73.86139,"718-696-3340","8:25 AM","3:15 PM",465,0.02,0.45,0.47,0.05,386,380,391,0.59,"College Student","SAT Prep Class (school hours)","Small Group"
"12X692","Monroe Academy for Visual Arts and Design","Bronx","X420","1300 Boynton Avenue","Bronx","NY",10472,40.83137,-73.87882,"718-860-8160","8:30 AM","3:00 PM",445,0.01,0.18,0.78,0.01,361,354,351,0.47,"BA","SAT Prep Class (after school)","Large Group"
"07X334","International Community High School","Bronx","X139","345 Brook Avenue","Bronx","NY",10454,40.81004,-73.91781,"718-665-4128","9:00 AM","4:00 PM",463,0.01,0.14,0.77,0.07,345,338,312,0.58,"Grad Student","One-on-One","Individual"
"08X561","Bronx Compass High School","Bronx","X450","1980 Lafayette Avenue","Bronx","NY",10473,40.8223,-73.85596,"718-828-1206","8:30 AM","3:15 PM",332,0.01,0.35,0.6,0.02,395.5,NA,NA,NA,"MA","Small Groups (4-6)","Mix of Large Group/Individual"
"10X549","Discovery High School","Bronx","X430","2780 Reservoir Avenue","Bronx","NY",10468,40.87038,-73.89816,"718-733-3872","8:45 AM","3:45 PM",530,0.02,0.17,0.77,0.03,432,396,395,0.4,"PhD","Small Groups (2-3)","Mix of Small Group/Individual"
"19K618","Academy of Innovative Technology","Brooklyn","K420","999 Jamaica Avenue","Brooklyn","NY",11208,40.69114,-73.86843,"718-827-2469","7:45 AM","2:30 PM",413,0.01,0.46,0.46,0.05,395,376,359,0.57,"College Student","SAT Prep Class (after school)","Individual"
"19K510","World Academy for Total Community Health High School","Brooklyn","K435","400 Pennsylvania Avenue","Brooklyn","NY",11207,40.66755,-73.8948,"718-922-0650","8:05 AM","2:20 PM",284,0.01,0.76,0.19,0.03,380,389,384,0.41,"BA","One-on-One","Mix of Large Group/Individual"
"16K455","Boys and Girls High School","Brooklyn","K455","1700 Fulton Street","Brooklyn","NY",11213,40.67943,-73.93243,"718-467-1700","8:15 AM","3:15 PM",648,0.02,0.87,0.09,0.01,399,392,394,0.36,"Grad Student","Small Groups (4-6)","Mix of Small Group/Individual"
"32K545","EBC High School for Public Service in Bushwick","Brooklyn","K913","1155 Dekalb Avenue","Brooklyn","NY",11221,40.69448,-73.92915,"718-452-3440","8:00 AM","3:45 PM",514,0,0.08,0.91,0,389,374,378,0.5,"MA","Small Groups (2-3)","Small Group"
"18K589","Arts and Media Preparatory Academy","Brooklyn","K232","905 Winthrop Street","Brooklyn","NY",11203,40.65846,-73.92903,"718-773-3908","8:50 AM","3:40 PM",279,0.01,0.83,0.13,0.01,370,383,374,0.64,"PhD","SAT Prep Class (school hours)","Large Group"
