"","HitPoints","Attack","Defense","Speed"
"Stunfisk",109,66,84,32
"Mewtwo",106,110,90,130
"Charmander",39,52,43,65
"Grimer",80,80,50,25
"Roggenrola",55,75,85,15
"Larvesta",55,85,55,60
"Metagross",80,135,130,70
"Delcatty",70,65,65,70
"Avalugg",95,117,184,28
"Marowak",60,80,110,45
"Staravia",55,75,50,80
"Trubbish",50,50,62,65
"Chandelure",60,55,90,80
"Jigglypuff",115,45,20,20
"Fennekin",40,45,40,60
"Rapidash",65,100,70,105
"Tyrogue",35,35,35,35
"Joltik",50,47,50,65
"Zekrom",100,150,120,90
"Muk",105,105,75,50
"Paras",35,70,55,25
"Buizel",55,65,35,85
"Sigilyph",72,58,80,97
"Arbok",60,85,69,80
"SceptileMega Sceptile",70,110,75,145
"Corphish",43,80,65,35
"Beartic",95,110,80,50
"Porygon",65,60,70,40
"Treecko",40,45,35,70
"Skorupi",40,50,90,65
"Hydreigon",92,105,90,98
"Snorlax",160,110,65,30
"Leafeon",65,110,130,95
"SableyeMega Sableye",50,85,125,20
"WormadamTrash Cloak",60,69,95,36
"Grovyle",50,65,45,95
"Serperior",75,75,95,113
"Cherrim",70,60,70,85
"Amaura",77,59,50,46
"Hippopotas",68,72,78,32
"Klink",40,55,70,30
"Bidoof",59,45,40,31
"AerodactylMega Aerodactyl",80,135,85,150
"Flabébé",44,38,39,42
"Throh",120,100,85,45
"Electrike",40,45,40,65
"Sawsbuck",80,100,70,95
"Mantine",65,40,70,70
"Sceptile",70,85,65,120
"Bergmite",55,69,85,28
