"date" "reactor" "checked"
1986-01-01 "A" TRUE
1986-01-01 "B" TRUE
1986-01-01 "C" TRUE
1986-01-01 "D" TRUE
1986-01-02 "A" TRUE
1986-01-02 "B" TRUE
1986-01-02 "C" TRUE
1986-01-02 "D" TRUE
1986-01-03 "A" TRUE
1986-01-03 "B" TRUE
1986-01-03 "C" TRUE
1986-01-03 "D" TRUE
1986-01-04 "A" TRUE
1986-01-04 "B" TRUE
1986-01-04 "C" TRUE
1986-01-04 "D" TRUE
1986-01-05 "A" TRUE
1986-01-05 "B" TRUE
1986-01-05 "C" TRUE
1986-01-05 "D" TRUE
1986-01-06 "A" TRUE
1986-01-06 "B" TRUE
1986-01-06 "C" TRUE
1986-01-06 "D" TRUE
1986-01-07 "A" TRUE
1986-01-07 "B" TRUE
1986-01-07 "C" TRUE
1986-01-07 "D" TRUE
1986-01-08 "A" TRUE
1986-01-08 "B" TRUE
1986-01-08 "C" TRUE
1986-01-08 "D" TRUE
1986-01-09 "A" TRUE
1986-01-09 "B" TRUE
1986-01-09 "C" TRUE
1986-01-09 "D" TRUE
1986-01-10 "A" TRUE
1986-01-10 "B" TRUE
1986-01-10 "C" TRUE
1986-01-10 "D" TRUE
1986-01-11 "A" TRUE
1986-01-11 "B" TRUE
1986-01-11 "C" TRUE
1986-01-11 "D" TRUE
1986-01-12 "A" TRUE
1986-01-12 "B" TRUE
1986-01-12 "C" TRUE
1986-01-12 "D" TRUE
1986-01-13 "A" TRUE
1986-01-13 "B" TRUE
1986-01-13 "C" TRUE
1986-01-13 "D" TRUE
1986-01-14 "A" TRUE
1986-01-14 "B" TRUE
1986-01-14 "C" TRUE
1986-01-14 "D" TRUE
1986-01-15 "A" TRUE
1986-01-15 "B" TRUE
1986-01-15 "C" TRUE
1986-01-15 "D" TRUE
1986-01-16 "A" TRUE
1986-01-16 "B" TRUE
1986-01-16 "C" TRUE
1986-01-16 "D" TRUE
1986-01-17 "A" TRUE
1986-01-17 "B" TRUE
1986-01-17 "C" TRUE
1986-01-17 "D" TRUE
1986-01-18 "A" TRUE
1986-01-18 "B" TRUE
1986-01-18 "C" TRUE
1986-01-18 "D" TRUE
1986-01-19 "A" TRUE
1986-01-19 "B" TRUE
1986-01-19 "C" TRUE
1986-01-19 "D" TRUE
1986-01-20 "A" TRUE
1986-01-20 "B" TRUE
1986-01-20 "C" TRUE
1986-01-20 "D" TRUE
1986-01-21 "A" TRUE
1986-01-21 "B" TRUE
1986-01-21 "C" TRUE
1986-01-21 "D" TRUE
1986-01-22 "A" TRUE
1986-01-22 "B" TRUE
1986-01-22 "C" TRUE
1986-01-22 "D" TRUE
1986-01-23 "A" TRUE
1986-01-23 "B" TRUE
1986-01-23 "C" TRUE
1986-01-23 "D" TRUE
1986-01-24 "A" TRUE
1986-01-24 "B" TRUE
1986-01-24 "C" TRUE
1986-01-24 "D" TRUE
1986-01-25 "A" TRUE
1986-01-25 "B" TRUE
1986-01-25 "C" TRUE
1986-01-25 "D" TRUE
1986-01-26 "A" TRUE
1986-01-26 "B" TRUE
1986-01-26 "C" TRUE
1986-01-26 "D" TRUE
1986-01-27 "A" TRUE
1986-01-27 "B" TRUE
1986-01-27 "C" TRUE
1986-01-27 "D" TRUE
1986-01-28 "A" TRUE
1986-01-28 "B" TRUE
1986-01-28 "C" TRUE
1986-01-28 "D" TRUE
1986-01-29 "A" TRUE
1986-01-29 "B" TRUE
1986-01-29 "C" TRUE
1986-01-29 "D" TRUE
1986-01-30 "A" TRUE
1986-01-30 "B" TRUE
1986-01-30 "C" TRUE
1986-01-30 "D" TRUE
1986-01-31 "A" TRUE
1986-01-31 "B" TRUE
1986-01-31 "C" TRUE
1986-01-31 "D" TRUE
1986-02-01 "A" TRUE
1986-02-01 "B" TRUE
1986-02-01 "C" TRUE
1986-02-01 "D" TRUE
1986-02-02 "A" TRUE
1986-02-02 "B" TRUE
1986-02-02 "C" TRUE
1986-02-02 "D" TRUE
1986-02-03 "A" TRUE
1986-02-03 "B" TRUE
1986-02-03 "C" TRUE
1986-02-03 "D" TRUE
1986-02-04 "A" TRUE
1986-02-04 "B" TRUE
1986-02-04 "C" TRUE
1986-02-04 "D" TRUE
1986-02-05 "A" TRUE
1986-02-05 "B" TRUE
1986-02-05 "C" TRUE
1986-02-05 "D" TRUE
1986-02-06 "A" TRUE
1986-02-06 "B" TRUE
1986-02-06 "C" TRUE
1986-02-06 "D" TRUE
1986-02-07 "A" TRUE
1986-02-07 "B" TRUE
1986-02-07 "C" TRUE
1986-02-07 "D" TRUE
1986-02-08 "A" TRUE
1986-02-08 "B" TRUE
1986-02-08 "C" TRUE
1986-02-08 "D" TRUE
1986-02-09 "A" TRUE
1986-02-09 "B" TRUE
1986-02-09 "C" TRUE
1986-02-09 "D" TRUE
1986-02-10 "A" TRUE
1986-02-10 "B" TRUE
1986-02-10 "C" TRUE
1986-02-10 "D" TRUE
1986-02-11 "A" TRUE
1986-02-11 "B" TRUE
1986-02-11 "C" TRUE
1986-02-11 "D" TRUE
1986-02-12 "A" TRUE
1986-02-12 "B" TRUE
