"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1",1842,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",255,"Average","Neutral","Somewhat satsified"
"2",1844,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",315,"Somewhat clean","Somewhat safe","Somewhat satsified"
"3",1840,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",165,"Average","Somewhat safe","Somewhat satsified"
"4",1837,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",225,"Somewhat clean","Somewhat safe","Somewhat satsified"
"5",1833,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",175,"Clean","Neutral",NA
"6",3010,"Wednesday","AMERICAN","MIAMI","East US","Hub","Gates 50-59","2018-12-31",87.9999999999998,"Somewhat clean","Very safe","Somewhat satsified"
"7",1838,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",195,"Somewhat clean","Very safe","Somewhat satsified"
"8",1845,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",135,"Average","Somewhat safe","Somewhat satsified"
"9",2097,"Monday","UNITED INTL","MEXICO CITY","Canada/Mexico","Hub","Gates 91-102","2018-12-31",145,"Somewhat clean","Somewhat safe","Somewhat satsified"
"10",1846,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",145,"Clean","Somewhat safe","Somewhat satsified"
"11",1831,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",285,"Clean","Somewhat safe","Very satisfied"
"12",1848,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",135,"Somewhat clean","Neutral","Somewhat satsified"
"13",1841,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",300,"Clean","Very safe","Very satisfied"
"14",1835,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",315,"Clean","Very safe","Very satisfied"
"15",1849,"Monday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",285,"Clean","Very safe","Very satisfied"
"16",2289,"Wednesday","QANTAS","SYDNEY","Australia/New Zealand","Hub","Gates 1-12","2018-12-31",165,"Somewhat clean","Very safe","Very satisfied"
"17",977,"Friday","LUFTHANSA","MUNICH","Europe","Hub","Gates 91-102","2018-12-31",475,"Average","Neutral","Neutral"
"18",105,"Tuesday","UNITED","WASHINGTON DC-DULLES","East US","Medium","Gates 70-90","2018-12-31",145,"Average","Somewhat safe",NA
"19",1973,"Friday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",125,"Clean","Very safe","Very satisfied"
"20",2385,"Wednesday","UNITED INTL","SYDNEY","Australia/New Zealand","Hub","Gates 91-102","2018-12-31",515,"Somewhat clean","Very safe","Somewhat satsified"
"21",3209,"Tuesday","UNITED","SANTA BARBARA","West US","Small","Gates 70-90","2018-12-31",35,"Average","Somewhat safe","Very unsatisfied"
"22",1794,"Sunday","ALASKA","RALEIGH-DURHAM","East US","Medium","Gates 50-59","2018-12-31",145,"Somewhat clean","Very safe","Somewhat satsified"
"23",278,"Thursday","UNITED","BALTIMORE","East US","Medium","Gates 70-90","2018-12-31",134,"Somewhat clean","Somewhat safe","Neutral"
"24",517,"Sunday","UNITED","FT. LAUDERDALE","East US","Large","Gates 60-69","2018-12-31",105,"Clean","Very safe","Very satisfied"
"25",1265,"Thursday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",215,"Somewhat clean","Somewhat safe","Somewhat satsified"
"26",2885,"Friday","EVA AIR","TAIPEI","Asia","Hub","Gates 91-102","2018-12-31",180,"Average","Very safe",NA
"27",2457,"Friday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",154,"Clean","Very safe","Neutral"
"28",3198,"Tuesday","UNITED","ONTARIO (CALIF)","West US","Small","Gates 70-90","2018-12-31",1365,"Average","Somewhat safe","Somewhat unsatisfied"
"29",2128,"Wednesday","FRONTIER","DENVER","West US","Hub","Gates 20-39","2018-12-31",243,"Clean","Very safe","Somewhat satsified"
"30",2199,"Thursday","SOUTHWEST","LAS VEGAS","West US","Hub","Gates 20-39","2018-12-31",180,"Somewhat clean","Neutral","Somewhat unsatisfied"
"31",1376,"Tuesday","UNITED INTL","SHANGHAI","Asia","Hub","Gates 91-102","2018-12-31",205,"Somewhat clean","Somewhat safe","Somewhat satsified"
"32",2152,"Wednesday","AIR CANADA","VANCOUVER","Canada/Mexico","Medium","Gates 91-102","2018-12-31",110,"Average","Somewhat safe","Somewhat satsified"
"33",621,"Tuesday","ALASKA","WASHINGTON DC-DULLES","East US","Medium","Gates 50-59","2018-12-31",84.9999999999999,"Average","Very safe","Neutral"
"34",4,"Tuesday","SOUTHWEST","LOS ANGELES","West US","Hub","Gates 20-39","2018-12-31",75.0000000000001,"Somewhat clean","Somewhat safe","Neutral"
"35",1541,"Wednesday","AIR CHINA","BEIJING","Asia","Hub","Gates 91-102","2018-12-31",140,"Somewhat clean","Very safe","Neutral"
"36",2242,"Wednesday","WOW","REYKJAVIK","Europe","Small","Gates 91-102","2018-12-31",156,"Somewhat clean","Somewhat safe","Neutral"
"37",1039,"Friday","AIR CANADA","CALGARY","Canada/Mexico","Medium","Gates 91-102","2018-12-31",245,"Somewhat clean","Neutral","Neutral"
"38",475,"Sunday","ALASKA","PORTLAND","West US","Medium","Gates 50-59","2018-12-31",178,NA,"Very safe","Neutral"
"39",2460,"Friday","ALASKA","SALT LAKE CITY","West US","Medium","Gates 1-12","2018-12-31",225,"Somewhat clean","Very safe","Somewhat satsified"
"40",2132,"Wednesday","FRONTIER","DENVER","West US","Hub","Gates 20-39","2018-12-31",183,"Average","Very safe","Somewhat satsified"
"41",1594,"Wednesday","SINGAPORE AIRLINES","SINGAPORE","Asia","Hub","Gates 91-102","2018-12-31",120,"Average","Neutral","Neutral"
"42",1536,"Wednesday","AIR CHINA","BEIJING","Asia","Hub","Gates 91-102","2018-12-31",170,"Somewhat clean","Neutral","Neutral"
"43",1582,"Wednesday","DELTA","SALT LAKE CITY","West US","Medium","Gates 40-48","2018-12-31",125,"Somewhat clean","Somewhat safe","Neutral"
"44",684,"Wednesday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",230,"Somewhat clean","Very safe","Somewhat satsified"
"45",101,"Tuesday","UNITED","WASHINGTON DC-DULLES","East US","Medium","Gates 70-90","2018-12-31",140,"Somewhat clean","Somewhat safe","Neutral"
"46",2455,"Friday","ALASKA","SALT LAKE CITY","West US","Medium","Gates 1-12","2018-12-31",150,"Average","Very safe","Somewhat satsified"
"47",294,"Thursday","UNITED","SAN DIEGO","West US","Medium","Gates 70-90","2018-12-31",182,"Somewhat clean","Very safe","Very satisfied"
"48",1005,"Friday","AIR CANADA","VANCOUVER","Canada/Mexico","Medium","Gates 91-102","2018-12-31",245,"Somewhat clean","Very safe","Neutral"
"49",464,"Sunday","ALASKA","PORTLAND","West US","Medium","Gates 50-59","2018-12-31",118,"Somewhat clean","Somewhat safe","Somewhat satsified"
"50",1583,"Wednesday","UNITED INTL","HONG KONG","Asia","Hub","Gates 91-102","2018-12-31",150,"Clean","Very safe","Very satisfied"
"51",1579,"Wednesday","UNITED INTL","HONG KONG","Asia","Hub","Gates 91-102","2018-12-31",180,"Somewhat clean","Very safe","Somewhat satsified"
"52",1269,"Thursday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",165,"Average","Neutral","Somewhat satsified"
"53",2654,"Saturday","AEROMEXICO","MEXICO CITY","Canada/Mexico","Hub","Gates 1-12","2018-12-31",230,"Clean","Very safe","Somewhat satsified"
"54",519,"Thursday","EMIRATES","DUBAI","Middle East","Hub","Gates 1-12","2018-12-31",285,"Somewhat clean","Very safe","Somewhat satsified"
"55",863,"Tuesday","ALASKA","SEATTLE","West US","Hub","Gates 50-59","2018-12-31",65.0000000000001,"Somewhat clean","Very safe","Neutral"
"56",1516,"Wednesday","INTERJET","GUADALAJARA","Canada/Mexico","Medium","Gates 1-12","2018-12-31",135,"Clean","Very safe","Somewhat satsified"
"57",659,"Thursday","UNITED","NEWARK","East US","Hub","Gates 70-90","2018-12-31",135,"Somewhat clean","Very safe","Neutral"
