"","id","name","addr","city","phone","type"
"1",0,"apple pan the","10801 w. pico blvd.","llos angeles","310-475-3585","american"
"2",1,"asahi ramen","2027 sawtelle blvd.","los angeles","310-479-2231","noodle shops"
"3",2,"baja fresh","3345 kimber dr.","los angeles","805-498-4049","mexican"
"4",3,"belvedere the","9882 little santa monica blvd.","los angeles","310-788-2306","pacific new wave"
"5",4,"benita's frites","1433 third st. promenade","lo angeles","310-458-2889","fast food"
"6",5,"bernard's","515 s. olive st.","los angeles","213-612-1580","continental"
"7",6,"bistro 45","45 s. mentor ave.","lo angeles","818-795-2478","californian"
"8",8,"brighton coffee shop","9600 brighton way","los angeles","310-276-7732","coffee shops"
"9",9,"bristol farms market cafe","1570 rosecrans ave. s.","los anegeles","310-643-5229","californian"
"10",11,"cafe'50s","838 lincoln blvd.","los angeles","310-399-1955","american"
"11",12,"cafe blanc","9777 little santa monica blvd.","los angeles","310-888-0108","pacific new wave"
"12",13,"cassell's","3266 w. sixth st.","los aneles","213-480-8668","hamburgers"
"13",15,"diaghilev","1020 n. san vicente blvd.","losangeles","310-854-1111","russian"
"14",16,"don antonio's","1136 westwood blvd.","lous angeles","310-209-1422","italian"
"15",17,"duke's","8909 sunset blvd.","los ageles","310-652-3100","coffee shops"
"16",18,"falafel king","1059 broxton ave.","llos angeles","310-208-4444","middle eastern"
"17",19,"feast from the east","1949 westwood blvd.","los angeles","310-475-0400","chinese"
"18",20,"gumbo pot the","6333 w. third st.","los angeles","213-933-0358","cajun/creole"
"19",22,"indo cafe","10428 1/2 national blvd.","los angeles","310-815-1290","indonesian"
"20",23,"jan's family restaurant","8424 beverly blvd.","los angeles","213-651-2866","coffee shops"
"21",24,"jiraffe","502 santa monica blvd","los angeles","310-917-6671","californian"
"22",25,"jody maroni's sausage kingdom","2011 ocean front walk","los angeles","310-306-1995","hot dogs"
"23",26,"joe's","1023 abbot kinney blvd.","loss angeles","310-399-5811","american ( new )"
"24",27,"john o  ` groats","10516 w. pico blvd.","los angeles","310-204-0692","coffee shops"
"25",30,"johnny rockets ( la )","7507 melrose ave.","los angeles","213-651-3361","american"
"26",31,"killer shrimp","4000 colfax ave.","llos angeles","818-508-1570","seafood"
"27",32,"kokomo cafe","6333 w. third st.","los angeles","213-933-0773","american"
"28",33,"koo koo roo","8393 w. beverly blvd.","los angeles","213-655-9045","chicken"
"29",35,"la salsa ( la )","22800 pch","los angeles","310-456-6299","mexican"
"30",37,"langer's","704 s. alvarado st.","los angeles","213-483-8050","delis"
"31",38,"local nochol","30869 thousand oaks blvd.","los angeles","818-706-7706","health food"
"32",40,"mani's bakery & espresso bar","519 s. fairfax ave.","los angeales","213-938-8800","desserts"
"33",43,"michael's ( los angeles )","1147 third st.","los angeles","310-451-0843","californian"
"34",44,"mishima","8474 w. third st.","los angeles","213-782-0181","noodle shops"
"35",45,"mo better meatty meat","7261 melrose ave.","los angeles","213-935-5280","hamburgers"
"36",46,"mulberry st.","17040 ventura blvd.","lo angeles","818-906-8881","pizza"
"37",47,"ocean park cafe","3117 ocean park blvd.","los angeles","310-452-5728","american"
"38",49,"original pantry bakery","875 s. figueroa st. downtown","los angeles","213-627-6879","diners"
"39",50,"parkway grill","510 s. arroyo pkwy .","los angeles","818-795-1001","californian"
"40",51,"pho hoa","642 broadway","los angeles","213-626-5530","vietnamese"
"41",52,"pink's famous chili dogs","709 n. la brea ave.","los ngeles","213-931-4223","hot dogs"
"42",54,"r-23","923 e. third st.","los angeles","213-687-7178","japanese"
"43",55,"rae's","2901 pico blvd.","los angles","310-828-7937","diners"
"44",56,"rubin's red hots","15322 ventura blvd.","los angeles","818-905-6515","hot dogs"
"45",57,"ruby's ( la )","45 s. fair oaks ave.","los angeles","818-796-7829","diners"
"46",59,"ruth's chris steak house ( los angeles )","224 s. beverly dr.","los angeles","310-859-8744","steakhouses"
"47",60,"shiro","1505 mission st. s.","los angeles","818-799-4774","pacific new wave"
"48",61,"sushi nozawa","11288 ventura blvd.","los angeles","818-508-7017","japanese"
"49",62,"sweet lady jane","8360 melrose ave.","los angeles","213-653-7145","desserts"
"50",64,"tommy's","2575 beverly blvd.","llos angeles","213-389-9060","hamburgers"
"51",66,"water grill","544 s. grand ave.","los angeles","213-891-0900","seafood"
"52",68,"afghan kebab house","764 ninth ave.","new yyork","212-307-1612","afghan"
"53",69,"arcadia","21 e. 62nd st.","new yorkk","212-223-2900","american ( new )"
"54",70,"benny's burritos","93 ave. a","new ryork","212-254-2054","mexican"
"55",71,"cafe con leche","424 amsterdam ave.","nw york","212-595-7000","cuban"
"56",72,"corner bistro","331 w. fourth st.","new york","212-242-9502","hamburgers"
"57",73,"cucina della fontana","368 bleecker st.","new yyork","212-242-0636","italian"
"58",74,"cucina di pesce","87 e. fourth st.","neew york","212-260-6800","seafood"
"59",75,"darbar","44 w. 56th st.","new york","212-432-7227","indian"
"60",76,"ej's luncheonette","432 sixth ave.","new ork","212-473-5555","diners"
"61",77,"edison cafe","228 w. 47th st.","new york","212-840-5000","diners"
"62",78,"elias corner","24-02 31st st.","new  york","718-932-1510","greek"
"63",79,"good enough to eat","483 amsterdam ave.","neew york","212-496-0163","american"
"64",80,"gray's papaya","2090 broadway","new york","212-799-0243","hot dogs"
"65",81,"il mulino","86 w. third st.","new york","212-673-3783","italian"
"66",82,"jackson diner","37-03 74th st.","nnew york","718-672-1232","indian"
"67",83,"joe's shanghai","9 pell st.","new york","718-539-3838","chinese"
"68",84,"john's pizzeria","48 w. 65th st.","new york","212-721-7001","pizza"
"69",85,"kelley & ping","127 greene st.","neew york","212-228-1212","pan-asian"
"70",86,"kiev","117 second ave.","new york","212-674-4040","ukrainian"
"71",87,"kuruma zushi","2nd fl .","new york","212-317-2802","japanese"
"72",88,"la caridad","2199 broadway","new york","212-874-2780","cuban"
"73",89,"la grenouille","3 e. 52nd st.","new york","212-752-1495","french ( classic )"
"74",90,"lemongrass grill","61a seventh ave.","new york","718-399-7100","thai"
"75",91,"lombardi's","32 spring st.","new york","212-941-7994","pizza"
"76",92,"marnie's noodle shop","466 hudson st.","neew york","212-741-3214","asian"
"77",93,"menchanko-tei","39 w. 55th st.","new york","212-247-1585","japanese"
